,Date / Time,City,State,Shape
280,2016-11-21 18:00:00,Fountain Hill                       ,AR    ,Light     
281,2016-11-21 18:00:00,Ventura                             ,CA    ,Circle    
282,2016-11-21 17:00:00,Alexandria                          ,VA    ,Fireball  
283,2016-11-21 07:30:00,Pearisburg                          ,VA    ,Triangle  
284,2016-11-21 06:00:00,Miramar Beach                       ,FL    ,Sphere    
285,2016-11-21 03:30:00,Honolulu                            ,HI    ,Other     
287,2016-11-21 00:05:00,Burbank                             ,CA    ,Oval      
288,2016-11-20 00:00:00,McKinney                            ,TX    ,Light     
290,2016-11-20 22:23:00,Springfield                         ,IL    ,Light     
291,2016-11-20 22:00:00,San Jose                            ,CA    ,Fireball  
292,2016-11-20 21:20:00,Charleston                          ,TN    ,Formation 
293,2016-11-20 11:10:00,Lincoln                             ,NE    ,Oval      
294,2016-11-20 09:30:00,Franklin                            ,WI    ,Light     
295,2016-11-20 07:10:00,Pamplin                             ,VA    ,Changing  
296,2016-11-19 22:00:00,Apollo Beach                        ,FL    ,Light     
297,2016-11-19 21:30:00,Salt Lake City                      ,UT    ,Circle    
298,2016-11-19 21:00:00,Myrtle Beach                        ,SC    ,Circle    
299,2016-11-19 20:40:00,Oregon City                         ,OR    ,Light     
300,2016-11-19 20:00:00,San Marcos                          ,CA    ,Circle    
301,2016-11-19 19:15:00,Jefferson City                      ,MO    ,Chevron   
303,2016-11-19 19:00:00,Boynton Beach                       ,FL    ,Circle    
304,2016-11-19 18:30:00,Brandon                             ,FL    ,Triangle  
305,2016-11-19 18:30:00,Zephyrhills                         ,FL    ,Fireball  
306,2016-11-19 18:22:00,Bristol                             ,CT    ,Light     
307,2016-11-19 18:15:00,Woodbridge                          ,VA    ,Formation 
308,2016-11-19 18:00:00,Fishers                             ,IN    ,Light     
309,2016-11-19 17:30:00,Louisville                          ,KY    ,Other     
310,2016-11-19 17:30:00,Woodbridge                          ,VA    ,Circle    
311,2016-11-19 16:30:00,Blaine                              ,MN    ,Rectangle 
312,2016-11-19 16:00:00,Ferrisburgh                         ,VT    ,Light     
313,2016-11-19 15:00:00,Springfield                         ,MA    ,Circle    
314,2016-11-19 12:05:00,Newnan                              ,GA    ,Light     
315,2016-11-19 11:30:00,Largo                               ,FL    ,Chevron   
317,2016-11-19 07:34:00,Wichita                             ,KS    ,Light     
318,2016-11-19 07:00:00,Smithton                            ,PA    ,Oval      
319,2016-11-19 05:05:00,Obernburg                           ,NY    ,Cylinder  
320,2016-11-18 23:30:00,Columbus                            ,OH    ,Cylinder  
321,2016-11-18 23:00:00,Sioux Falls                         ,SD    ,Chevron   
322,2016-11-18 21:00:00,Fletcher                            ,NC    ,Triangle  
323,2016-11-18 19:25:00,Billings                            ,MT    ,Triangle  
324,2016-11-18 19:25:00,Billings                            ,MT    ,Triangle  
325,2016-11-18 19:15:00,Stone Creek                         ,OH    ,Triangle  
326,2016-11-18 18:30:00,Carrollton                          ,OH    ,Circle    
327,2016-11-18 17:30:00,Hampton                             ,VA    ,Sphere    
328,2016-11-18 16:00:00,Nashville                           ,TN    ,Changing  
329,2016-11-18 14:00:00,Kittery                             ,ME    ,Other     
330,2016-11-18 10:45:00,McMurray                            ,PA    ,Triangle  
331,2016-11-18 08:25:00,Bronx                               ,NY    ,Cigar     
332,2016-11-18 06:12:00,New York City                       ,NY    ,Rectangle 
333,2016-11-18 01:44:00,Farmington                          ,NH    ,Fireball  
334,2016-11-17 22:00:00,Buena Park                          ,CA    ,Light     
335,2016-11-17 21:30:00,Athens                              ,OH    ,Light     
336,2016-11-17 21:30:00,Methuen                             ,MA    ,Light     
337,2016-11-17 20:30:00,Benton City                         ,WA    ,Light     
338,2016-11-17 20:00:00,Stevens Point                       ,WI    ,Formation 
339,2016-11-17 20:00:00,High Point                          ,NC    ,Circle    
340,2016-11-17 20:00:00,Caldwell                            ,ID    ,Formation 
341,2016-11-17 20:00:00,Balko                               ,OK    ,Disk      
342,2016-11-17 19:40:00,Jordan                              ,MT    ,Fireball  
343,2016-11-17 19:35:00,Elizabethton                        ,TN    ,Circle    
344,2016-11-17 19:24:00,Lower Burrell                       ,PA    ,Triangle  
345,2016-11-17 19:00:00,Hemet                               ,CA    ,Disk      
346,2016-11-17 18:02:00,Nampa                               ,ID    ,Triangle  
347,2016-11-17 13:00:00,Oshkosh                             ,WI    ,Light     
348,2016-11-17 07:45:00,Avon                                ,CO    ,Light     
349,2016-11-17 04:45:00,Stonington                          ,ME    ,Light     
350,2016-11-16 23:00:00,Elk Grove                           ,CA    ,Circle    
351,2016-11-16 22:37:00,Benson                              ,AZ    ,Light     
